pcds,laua,lat,long
BS1 1XH,E06000023,51.453914,-2.596257
BS1 1XL,E06000023,51.453988,-2.595855
BS1 1XN,E06000023,51.453565,-2.595763
BS1 1XQ,E06000023,51.453558,-2.597202
BS1 1XR,E06000023,51.453534,-2.596698
BS1 1XS,E06000023,51.453558,-2.597202
BS1 1XT,E06000023,51.453558,-2.597202
BS1 1XU,E06000023,51.45359,-2.596282
BS1 1XX,E06000023,51.452659,-2.59719
BS1 1XY,E06000023,51.45379,-2.595881
BS1 1YA,E06000023,51.453845,-2.595594
BS1 1YB,E06000023,51.453565,-2.595763
BS1 1YD,E06000023,51.453565,-2.595763
BS1 1YE,E06000023,51.453873,-2.595407
BS1 1YF,E06000023,51.453565,-2.595763
BS1 1YG,E06000023,51.453799,-2.595723
BS1 1YH,E06000023,51.453964,-2.595106
BS1 1YL,E06000023,51.454084,-2.596417
BS1 1YN,E06000023,51.454465,-2.595775
BS1 1YW,E06000023,51.454465,-2.595775
BS1 2AA,E06000023,51.457569,-2.59357
BS1 2AB,E06000023,51.457569,-2.59357
BS1 2AD,E06000023,51.457569,-2.59357
BS1 2AE,E06000023,51.457868,-2.594826
BS1 2AF,E06000023,51.456334,-2.595643
BS1 2AG,E06000023,51.457419,-2.592749
BS1 2AH,E06000023,51.454539,-2.591703
BS1 2AJ,E06000023,51.454539,-2.591703
BS1 2AL,E06000023,51.457111,-2.594861
BS1 2AN,E06000023,51.454852,-2.591995
BS1 2AP,E06000023,51.457868,-2.594826
BS1 2AQ,E06000023,51.454465,-2.595775
BS1 2AR,E06000023,51.457111,-2.594847
BS1 2AS,E06000023,51.457111,-2.594847
BS1 2AT,E06000023,51.454533,-2.592912
BS1 2AU,E06000023,51.457111,-2.594847
BS1 2AW,E06000023,51.454239,-2.592476
BS1 2AX,E06000023,51.457999,-2.59382
BS1 2AY,E06000023,51.454479,-2.592897
BS1 2AZ,E06000023,51.454801,-2.592989
BS1 2BA,E06000023,51.456974,-2.593564
BS1 2BB,E06000023,51.455045,-2.59299
BS1 2BD,E06000023,51.455574,-2.59163
BS1 2BE,E06000023,51.456965,-2.593564
BS1 2BF,E06000023,51.456974,-2.593564
BS1 2BG,E06000023,51.456974,-2.593564
BS1 2BH,E06000023,51.455746,-2.591229
BS1 2BJ,E06000023,51.456511,-2.594349
BS1 2BL,E06000023,51.455989,-2.592673
BS1 2BN,E06000023,51.456387,-2.594089
BS1 2BP,E06000023,51.455574,-2.59163
BS1 2BQ,E06000023,51.455682,-2.59123
BS1 2BU,E06000023,51.455386,-2.591469
BS1 2BW,E06000023,51.455386,-2.591469
BS1 2BX,E06000023,51.455694,-2.590926
BS1 2BZ,E06000023,51.455386,-2.591469
BS1 2DA,E06000023,51.455378,-2.592908
BS1 2DB,E06000023,51.455386,-2.591469
BS1 2DD,E06000023,51.455845,-2.590973
BS1 2DE,E06000023,51.455378,-2.592908
BS1 2DF,E06000023,51.456311,-2.591224
BS1 2DG,E06000023,51.455386,-2.591469
BS1 2DJ,E06000023,51.456598,-2.591371
BS1 2DL,E06000023,51.457352,-2.591955
BS1 2DN,E06000023,51.456285,-2.591481
BS1 2DP,E06000023,51.456663,-2.590955
BS1 2DQ,E06000023,51.455386,-2.591469
BS1 2DR,E06000023,51.456285,-2.591481
BS1 2DS,E06000023,51.456761,-2.591458
BS1 2DT,E06000023,51.456277,-2.59292
BS1 2DU,E06000023,51.457592,-2.592291
BS1 2DW,E06000023,51.456654,-2.59137
BS1 2DY,E06000023,51.45774,-2.591644
BS1 2ED,E06000023,51.457162,-2.59581
BS1 2EE,E06000023,51.457441,-2.595727
BS1 2EF,E06000023,51.455371,-2.594347
BS1 2EH,E06000023,51.455338,-2.593384
BS1 2EJ,E06000023,51.45517,-2.59315
BS1 2EL,E06000023,51.45534,-2.593383
BS1 2EN,E06000023,51.455371,-2.594347
BS1 2EP,E06000023,51.45558,-2.593962
BS1 2EQ,E06000023,51.455809,-2.594571
BS1 2ER,E06000023,51.455714,-2.594136
BS1 2ES,E06000023,51.455371,-2.594347
BS1 2EU,E06000023,51.455831,-2.593994
BS1 2EW,E06000023,51.454472,-2.594336
BS1 2EX,E06000023,51.455364,-2.595787
BS1 2EY,E06000023,51.45596,-2.593434
BS1 2EZ,E06000023,51.455888,-2.594931
BS1 2HA,E06000023,51.455364,-2.595787
BS1 2HB,E06000023,51.455364,-2.595787
BS1 2HD,E06000023,51.455371,-2.594347
BS1 2HE,E06000023,51.454472,-2.594336
BS1 2HF,E06000023,51.455538,-2.595112
BS1 2HG,E06000023,51.455602,-2.59484
BS1 2HH,E06000023,51.455371,-2.594347
BS1 2HL,E06000023,51.455247,-2.594
BS1 2HN,E06000023,51.455217,-2.594504
BS1 2HP,E06000023,51.455574,-2.59163
BS1 2HQ,E06000023,51.455371,-2.594347
BS1 2HR,E06000023,51.455921,-2.59398
BS1 2HS,E06000023,51.456186,-2.594705
BS1 2HT,E06000023,51.456235,-2.593842
BS1 2HU,E06000023,51.455371,-2.594347
BS1 2HW,E06000023,51.455114,-2.593682
BS1 2HX,E06000023,51.455371,-2.594347
BS1 2HY,E06000023,51.455371,-2.594347
BS1 2HZ,E06000023,51.4564,-2.593468
BS1 2JA,E06000023,51.455371,-2.594347
BS1 2JD,E06000023,51.455378,-2.592908
BS1 2JE,E06000023,51.455538,-2.595127
BS1 2JG,E06000023,51.455364,-2.595787
BS1 2JH,E06000023,51.455364,-2.595787
BS1 2JJ,E06000023,51.457441,-2.595727
BS1 2JL,E06000023,51.455426,-2.595559
BS1 2JN,E06000023,51.455371,-2.594347
BS1 2JP,E06000023,51.455364,-2.595787
BS1 2JQ,E06000023,51.455364,-2.595787
BS1 2JR,E06000023,51.458054,-2.597261
BS1 2JT,E06000023,51.456519,-2.594866
BS1 2JX,E06000023,51.456903,-2.593748
BS1 2JY,E06000023,51.456677,-2.592162
BS1 2LA,E06000023,51.456467,-2.592836
BS1 2LB,E06000023,51.45627,-2.594359
BS1 2LD,E06000023,51.4564,-2.593468
BS1 2LE,E06000023,51.456631,-2.592392
BS1 2LF,E06000023,51.456277,-2.59292
BS1 2LG,E06000023,51.456277,-2.59292
BS1 2LH,E06000023,51.457176,-2.592932
BS1 2LJ,E06000023,51.457473,-2.596147
BS1 2LL,E06000023,51.457999,-2.59382
BS1 2LN,E06000023,51.458032,-2.601579
BS1 2LP,E06000023,51.457868,-2.594826
BS1 2LQ,E06000023,51.456277,-2.59292
BS1 2LR,E06000023,51.457441,-2.595727
BS1 2LT,E06000023,51.457859,-2.594826
BS1 2LU,E06000023,51.458423,-2.593567
BS1 2LW,E06000023,51.457743,-2.594652
BS1 2LX,E06000023,51.458436,-2.594546
BS1 2LY,E06000023,51.458613,-2.595196
BS1 2LZ,E06000023,51.455989,-2.592673
BS1 2NA,E06000023,51.455991,-2.592672
BS1 2NB,E06000023,51.455991,-2.592672
BS1 2ND,E06000023,51.455991,-2.592672
BS1 2NE,E06000023,51.455378,-2.592908
BS1 2NF,E06000023,51.455991,-2.592672
BS1 2NG,E06000023,51.455991,-2.592686
BS1 2NH,E06000023,51.456448,-2.596434
BS1 2NJ,E06000023,51.457485,-2.595658
BS1 2NL,E06000023,51.455991,-2.592672
BS1 2NN,E06000023,51.457338,-2.596217
BS1 2NP,E06000023,51.457743,-2.594652
BS1 2NQ,E06000023,51.455991,-2.592672
BS1 2NR,E06000023,51.457485,-2.595658
BS1 2NS,E06000023,51.457441,-2.595727
BS1 2NT,E06000023,51.457867,-2.594813
BS1 2NU,E06000023,51.456736,-2.59651
BS1 2NW,E06000023,51.457162,-2.59581
BS1 2NX,E06000023,51.457162,-2.59581
BS1 2NY,E06000023,51.455991,-2.592672
BS1 2NZ,E06000023,51.458018,-2.595161
BS1 2PA,E06000023,51.455378,-2.592908
BS1 2PB,E06000023,51.455991,-2.592672
BS1 2PE,E06000023,51.457162,-2.59581
BS1 2PG,E06000023,51.457162,-2.59581
BS1 2PH,E06000023,51.455325,-2.59242
BS1 2PJ,E06000023,51.455444,-2.592348
BS1 2PL,E06000023,51.455378,-2.592908
BS1 2PR,E06000023,51.454479,-2.592897
BS1 2PS,E06000023,51.456277,-2.59292
BS1 2PU,E06000023,51.456675,-2.594264
BS1 2PW,E06000023,51.455444,-2.592348
BS1 2PY,E06000023,51.456771,-2.594511
BS1 2PZ,E06000023,51.45662,-2.594479
BS1 2QA,E06000023,51.457023,-2.594786
BS1 2QB,E06000023,51.456263,-2.595798
BS1 2QD,E06000023,51.457102,-2.593134
BS1 2QE,E06000023,51.457023,-2.594786
BS1 2QG,E06000023,51.457569,-2.593584
BS1 2QH,E06000023,51.456796,-2.593574
BS1 2QJ,E06000023,51.457023,-2.594786
BS1 2QN,E06000023,51.456263,-2.595798
BS1 2QP,E06000023,51.457023,-2.594786
BS1 2QQ,E06000023,51.454479,-2.592897
BS1 2QR,E06000023,51.456263,-2.595798
BS1 2QW,E06000023,51.457162,-2.59581
BS1 2WZ,E06000023,51.45843,-2.574179
BS1 2XJ,E06000023,51.45843,-2.574179
BS1 2YE,E06000023,51.457859,-2.594826
BS1 3AA,E06000023,51.455691,-2.586119
BS1 3AB,E06000023,51.458548,-2.584918
BS1 3AD,E06000023,51.455968,-2.584784
BS1 3AE,E06000023,51.456218,-2.583334
BS1 3AF,E06000023,51.456739,-2.585111
BS1 3AG,E06000023,51.457042,-2.585418
BS1 3AH,E06000023,51.457008,-2.585344
BS1 3AJ,E06000023,51.455378,-2.592908
BS1 3AL,E06000023,51.459799,-2.586416
BS1 3AN,E06000023,51.457347,-2.585795
BS1 3AP,E06000023,51.45739,-2.587954
BS1 3AQ,E06000023,51.455407,-2.587152
BS1 3AR,E06000023,51.45742,-2.587523
BS1 3AS,E06000023,51.457894,-2.586119
BS1 3AT,E06000023,51.458092,-2.586035
BS1 3AU,E06000023,51.457818,-2.586709
BS1 3AW,E06000023,51.457363,-2.586284
BS1 3AX,E06000023,51.457757,-2.586664
BS1 3AY,E06000023,51.456956,-2.586711
BS1 3AZ,E06000023,51.456709,-2.587629
BS1 3BA,E06000023,51.45828,-2.585895
BS1 3BB,E06000023,51.458237,-2.591247
BS1 3BD,E06000023,51.458512,-2.584559
BS1 3BE,E06000023,51.45801,-2.58625
BS1 3BF,E06000023,51.458892,-2.585874
BS1 3BG,E06000023,51.455393,-2.59003
BS1 3BH,E06000023,51.458141,-2.585273
BS1 3BJ,E06000023,51.455386,-2.591469
BS1 3BL,E06000023,51.455961,-2.59109
BS1 3BN,E06000023,51.455924,-2.591764
BS1 3BP,E06000023,51.455393,-2.59003
BS1 3BQ,E06000023,51.458235,-2.586081
BS1 3BS,E06000023,51.45975,-2.588963
BS1 3BT,E06000023,51.455924,-2.591764
BS1 3BU,E06000023,51.457725,-2.587327
